Gender,Age,Annual Income,Spending Score (1-100),age_group,income_spending_ratio,cluster,segment
1,19,15,39,young_adult,0.38461538461538464,4,young_impulsive_spenders
1,21,15,81,young_adult,0.18518518518518517,4,young_impulsive_spenders
0,20,16,6,young_adult,2.6666666666666665,5,budget_conscious
0,23,16,77,young_adult,0.2077922077922078,4,young_impulsive_spenders
0,31,17,40,adult,0.425,5,budget_conscious
0,22,17,76,young_adult,0.2236842105263158,4,young_impulsive_spenders
0,35,18,6,adult,3.0,5,budget_conscious
0,23,18,94,young_adult,0.19148936170212766,4,young_impulsive_spenders
1,64,19,3,senior,6.333333333333333,5,budget_conscious
0,30,19,72,young_adult,0.2638888888888889,4,young_impulsive_spenders
1,67,19,14,senior,1.3571428571428572,5,budget_conscious
0,35,19,99,adult,0.1919191919191919,4,young_impulsive_spenders
0,58,20,15,middle_aged,1.3333333333333333,5,budget_conscious
0,24,20,77,young_adult,0.2597402597402597,4,young_impulsive_spenders
1,37,20,13,adult,1.5384615384615385,5,budget_conscious
1,22,20,79,young_adult,0.25316455696202533,4,young_impulsive_spenders
0,35,21,35,adult,0.6,5,budget_conscious
1,20,21,66,young_adult,0.3181818181818182,4,young_impulsive_spenders
1,52,23,29,middle_aged,0.7931034482758621,5,budget_conscious
0,35,23,98,adult,0.23469387755102042,4,young_impulsive_spenders
1,35,24,35,adult,0.6857142857142857,5,budget_conscious
1,25,24,73,young_adult,0.3287671232876712,4,young_impulsive_spenders
0,46,25,5,middle_aged,5.0,5,budget_conscious
1,31,25,73,adult,0.3424657534246575,4,young_impulsive_spenders
0,54,28,14,middle_aged,2.0,5,budget_conscious
1,29,28,82,young_adult,0.34146341463414637,4,young_impulsive_spenders
0,45,28,32,adult,0.875,5,budget_conscious
1,35,28,61,adult,0.45901639344262296,4,young_impulsive_spenders
0,40,29,31,adult,0.9354838709677419,5,budget_conscious
0,23,29,87,young_adult,0.3333333333333333,4,young_impulsive_spenders
1,60,30,4,middle_aged,7.5,5,budget_conscious
0,21,30,73,young_adult,0.410958904109589,4,young_impulsive_spenders
1,53,33,4,middle_aged,8.25,5,budget_conscious
1,18,33,92,teen,0.358695652173913,4,young_impulsive_spenders
0,49,33,14,middle_aged,2.357142857142857,5,budget_conscious
0,21,33,81,young_adult,0.4074074074074074,4,young_impulsive_spenders
0,42,34,17,adult,2.0,5,budget_conscious
0,30,34,73,young_adult,0.4657534246575342,4,young_impulsive_spenders
0,36,37,26,adult,1.4230769230769231,5,budget_conscious
0,20,37,75,young_adult,0.49333333333333335,4,young_impulsive_spenders
0,65,38,35,senior,1.0857142857142856,0,mature_mainsteram
1,24,38,92,young_adult,0.41304347826086957,4,young_impulsive_spenders
1,48,39,36,middle_aged,1.0833333333333333,5,budget_conscious
0,31,39,61,adult,0.639344262295082,1,young_mainstream
0,49,39,28,middle_aged,1.3928571428571428,5,budget_conscious
0,24,39,65,young_adult,0.6,4,young_impulsive_spenders
0,50,40,55,middle_aged,0.7272727272727273,0,mature_mainsteram
0,27,40,47,young_adult,0.851063829787234,1,young_mainstream
0,29,40,42,young_adult,0.9523809523809523,1,young_mainstream
0,31,40,42,adult,0.9523809523809523,1,young_mainstream
0,49,42,52,middle_aged,0.8076923076923077,0,mature_mainsteram
1,33,42,60,adult,0.7,1,young_mainstream
0,31,43,54,adult,0.7962962962962963,1,young_mainstream
1,59,43,60,middle_aged,0.7166666666666667,0,mature_mainsteram
0,50,43,45,middle_aged,0.9555555555555556,0,mature_mainsteram
1,47,43,41,middle_aged,1.048780487804878,0,mature_mainsteram
0,51,44,50,middle_aged,0.88,0,mature_mainsteram
1,69,44,46,senior,0.9565217391304348,0,mature_mainsteram
0,27,46,51,young_adult,0.9019607843137255,1,young_mainstream
1,53,46,46,middle_aged,1.0,0,mature_mainsteram
1,70,46,56,senior,0.8214285714285714,0,mature_mainsteram
1,19,46,55,young_adult,0.8363636363636363,1,young_mainstream
0,67,47,52,senior,0.9038461538461539,0,mature_mainsteram
0,54,47,59,middle_aged,0.7966101694915254,0,mature_mainsteram
1,63,48,51,senior,0.9411764705882353,0,mature_mainsteram
1,18,48,59,teen,0.8135593220338984,1,young_mainstream
0,43,48,50,adult,0.96,0,mature_mainsteram
0,68,48,48,senior,1.0,0,mature_mainsteram
1,19,48,59,young_adult,0.8135593220338984,1,young_mainstream
0,32,48,47,adult,1.0212765957446808,1,young_mainstream
1,70,49,55,senior,0.8909090909090909,0,mature_mainsteram
0,47,49,42,middle_aged,1.1666666666666667,0,mature_mainsteram
0,60,50,49,middle_aged,1.0204081632653061,0,mature_mainsteram
0,60,50,56,middle_aged,0.8928571428571429,0,mature_mainsteram
1,59,54,47,middle_aged,1.148936170212766,0,mature_mainsteram
1,26,54,54,young_adult,1.0,1,young_mainstream
0,45,54,53,adult,1.0188679245283019,0,mature_mainsteram
1,40,54,48,adult,1.125,1,young_mainstream
0,23,54,52,young_adult,1.0384615384615385,1,young_mainstream
0,49,54,42,middle_aged,1.2857142857142858,0,mature_mainsteram
1,57,54,51,middle_aged,1.0588235294117647,0,mature_mainsteram
1,38,54,55,adult,0.9818181818181818,1,young_mainstream
1,67,54,41,senior,1.3170731707317074,0,mature_mainsteram
0,46,54,44,middle_aged,1.2272727272727273,0,mature_mainsteram
0,21,54,57,young_adult,0.9473684210526315,1,young_mainstream
1,48,54,46,middle_aged,1.173913043478261,0,mature_mainsteram
0,55,57,58,middle_aged,0.9827586206896551,0,mature_mainsteram
0,22,57,55,young_adult,1.0363636363636364,1,young_mainstream
0,34,58,60,adult,0.9666666666666667,1,young_mainstream
0,50,58,46,middle_aged,1.2608695652173914,0,mature_mainsteram
0,68,59,55,senior,1.0727272727272728,0,mature_mainsteram
1,18,59,41,teen,1.4390243902439024,1,young_mainstream
1,48,60,49,middle_aged,1.2244897959183674,0,mature_mainsteram
0,40,60,40,adult,1.5,1,young_mainstream
0,32,60,42,adult,1.4285714285714286,1,young_mainstream
1,24,60,52,young_adult,1.1538461538461537,1,young_mainstream
0,47,60,47,middle_aged,1.2765957446808511,0,mature_mainsteram
